month_number;day_number;month_name;synaxaire;synaxaire_category;is_martyre
2;24;Babah;Martyre de saint Paul, Longin et Zéna;Martyre;1
2;24;Babah;Décès de saint Hilarion;Décès;0
2;25;Babah;Décès de saint Apollo et saint Abib;Décès;0
2;25;Babah;Consécration de l’église de Saint Julius El Akfahsi;Consécration;0
2;26;Babah;Martyre de saint Timon, le disciple;Martyre;1
2;26;Babah;Commémoration des sept martyrs de la montagne de saint Antoine;Commémoration;0
2;27;Babah;Martyre de saint Macaire, évêque d’Edkou;Martyre;1
2;28;Babah;Martyre des saints Marcien et Mercure;Martyre;1
2;29;Babah;Martyre de saint Dimitri de Thessalonique;Martyre;1
2;30;Babah;Consécration de l'église de saint Marc, l'évangéliste et apparition de sa tête sacrée;Consécration;0
2;30;Babah;Décès de saint Abraham l'hermite;Décès;0
3;1;Hatour;Martyre des saints Maxime, Numitius, Victor et Philippe;Martyre;1
3;1;Hatour;Commémoration de saint Cléopas et son compagnon;Commémoration;0
3;2;Hatour;Décès de saint Pierre III, le vingt septième pape d’Alexandrie;Décès;0
3;3;Hatour;Décès de saint Cyriaque;Décès;0
3;3;Hatour;Décès de saint Athanase et sa sœur Irène;Décès;0
3;4;Hatour;Martyre des saints Jean et Jacques, les évêques de Perse;Martyre;1
3;4;Hatour;Martyre des saints Epimaque et Gordien;Martyre;1
3;5;Hatour;Martyre de saint Timothée et transfert des reliques de saint Théodore à Chatab;Martyre;1
3;5;Hatour;Apparition de la tête de saint Longin, le soldat;Apparition;0
3;6;Hatour;Décès de saint Félix, pape de Rome;Décès;0
3;6;Hatour;Consécration de l'église de la sainte Vierge au monastère al Moharrak, au mont Kosquâm;Consécration;0
3;7;Hatour;Martyre de saint Georges d'Alexandrie;Martyre;1
3;7;Hatour;Martyre de saint Nehroua;Martyre;1
3;7;Hatour;Décès de saint Menas, l'évêque de Thmouï;Décès;0
3;7;Hatour;Consécration de l'église de saint Georges de Cappadoce;Consécration;0
3;8;Hatour;Commémoration des quatre vivants incorporels;Commémoration;0
3;9;Hatour;Décès d’abba Isaac, le quarante et unième pape d’Alexandrie;Décès;0
3;9;Hatour;Tenue du concile de Nicée;Tenue;0
3;10;Hatour;Martyre des 50 vierges et de leur mère spirituelle;Martyre;1
3;10;Hatour;Réunion d’un concile à Rome au sujet de la fête de l’Epiphanie et du carême;Réunion;0
3;11;Hatour;Décès de sainte Anne;Décès;0
3;11;Hatour;Commémoration du martyre de saint Archélaüs et de saint Elysée, l’higoumène;Commémoration;0
3;12;Hatour;Commémoration de l’archange Michel;Commémoration;0
3;13;Hatour;Décès de saint Timothée, évêque d’Antinoë;Décès;0
3;13;Hatour;Décès de saint Zacharie, 64ème pape d’Alexandrie;Décès;0
3;14;Hatour;Décès de saint Martin, évêque de Tours;Décès;0
3;15;Hatour;Martyre de saint Ménas;Martyre;1
3;16;Hatour;Martyre de saint Juste, l’évêque;Martyre;1
3;16;Hatour;Commencement du jeûne de l’avent;Commencement;0
3;16;Hatour;Consécration de l’église de saint Onuphre;Consécration;0
